NAMA|NPSN|JENJANGPENDIDIKAN|STATUSSEKOLAH|WAKTUPENYELENGGARAAN|ALAMAT|KELURAHAN|KECAMATAN|KABUPATEN|KODEPOS
MAN MAJENE|40601308|SMA|Negeri|Pagi/6 Hari|JL. M.DJUD. P. NO. 2|LABUANG|BANGGAE TIMUR|MAJENE|91412
SMAN 2 MAJENE|40601311|SMA|Negeri|Pagi/6 Hari|JL. CHAIRIL ANWAR NO. 3|LABUANG|BANGGAE TIMUR|MAJENE|91412
SMAN 3 MAJENE|40602586|SMA|Negeri|Pagi/6 Hari|JL. LETJEN HERTASNING|BAURUNG|BANGGAE TIMUR|MAJENE|91412
SMAN 1 SENDANA|40601310|SMA|Negeri|Pagi/6 Hari|JL. KEMAKMURAN NO. 20|MOSSO|SENDANA|MAJENE|91412
SMAN 1 MALUNDA|40601488|SMA|Negeri|Pagi/6 Hari|MALUNDA|MALUNDA|MALUNDA|MAJENE|91412
SMAN 1 PAMBOANG|40601309|SMA|Negeri|Pagi/6 Hari|PAMBOANG|LALAMPANUA|PAMBOANG|MAJENE|91412
SMALB ABCD AISYIAH BANGGAE|40604610|SMA|Swasta Di bawah Diknas|Pagi/6 Hari|JL. KH. MUH.SALEH KAMPUNG BARU|KAMPUNG BARU|BANGGAE TIMUR|MAJENE|91412
MAN MAJENE|60404188|MA|NEGERI DIBAWAH DEPAG|Pagi/6 Hari|JL. SULTAN HASANUDDIN BAURUNG TIMUR|KAMPUNG BARU|BANGGAE TIMUR|MAJENE|91412
MAS PPPA-GUPPI RANGAS|60404187|MA|NEGERI DIBAWAH DEPAG|Pagi/6 Hari|JL. PENDIDIKAN NO. 3 RANGAS|TOTOLI|BANGGAE|MAJENE|91412
MAS AL-MUAWANAH SIMULLU|60404186|MA|NEGERI DIBAWAH DEPAG|Pagi/6 Hari|SIMULLU BARUGA BANGGAE TIMUR|-|BANGGAE TIMUR|MAJENE|91412
MAS DDI BARUGA|60404189|MA|NEGERI DIBAWAH DEPAG|Pagi/6 Hari|JL. MOH. SALEH BONE NO.1 BARUGA BAURUNG|BARUGA BAURUNG|BANGGAE TIMUR|MAJENE|91412
MAS DDI MAJENE|40605956|MA|NEGERI DIBAWAH DEPAG|Pagi/6 Hari|JL. KH. MUH.SHALEH NO. 57 KAMP. BARU|LABUANG|BANGGAE|MAJENE|91412
MAS MIFTAHUL JIHAD TANDE|40605957|MA|NEGERI DIBAWAH DEPAG|Pagi/6 Hari|JL. KORBAN 40.000 JIWA TANDE|TANDE|BANGGAE TIMUR|MAJENE|91412
